,log2FoldChange,pvalue,padj
Dapma7bEVm000300,0.098648753,0.719632313,0.998544574
Dapma7bEVm000301,-0.208661384,0.357842251,0.997835001
Dapma7bEVm000302,-0.196085928,0.744331256,0.998544574
Dapma7bEVm000303,0.129846923,0.789500631,0.998544574
Dapma7bEVm000304,-0.099414469,0.580475362,0.997835001
Dapma7bEVm000305,-0.384033339,0.106699399,0.910488312
Dapma7bEVm000306,-0.149581034,0.608572297,0.997835001
Dapma7bEVm000307,0.174174063,0.715821565,0.998544574
Dapma7bEVm000308,0.245127845,0.466051806,0.997835001
Dapma7bEVm000309,-0.430221379,0.331838417,0.997835001
Dapma7bEVm000310,0.036330139,0.811603905,0.998544574
Dapma7bEVm000311,-0.864580036,0.009287504,0.449991784
Dapma7bEVm000312,-0.086963297,0.670711993,0.998544574
Dapma7bEVm000313,0.353484582,0.209904364,0.99129443
Dapma7bEVm000314,-0.202170154,0.379609972,0.997835001
Dapma7bEVm000315,-0.318882555,0.041320752,0.731325246
Dapma7bEVm000316,-0.135548164,0.503588602,0.997835001
Dapma7bEVm000318,0.024149646,0.912791729,0.998544574
Dapma7bEVm000319,0.178350854,0.613613471,0.997835001
Dapma7bEVm000320,0.198816185,0.821563521,0.998544574
Dapma7bEVm000321,-0.107050078,0.821269634,0.998544574
Dapma7bEVm000322,-0.029843411,0.932994472,0.998544574
Dapma7bEVm000323,0.023767178,0.94232232,0.998544574
Dapma7bEVm000324,1.954367018,0.008563356,0.436548283
Dapma7bEVm000325,1.283688792,0.009004704,0.446340439
Dapma7bEVm000326,-0.226413312,0.263725776,0.997835001
Dapma7bEVm000327,0.587634096,0.091754933,0.876418925
Dapma7bEVm000328,-1.010640611,0.660242176,0.998387735
Dapma7bEVm000329,-0.055366408,0.819862593,0.998544574
Dapma7bEVm000330,1.200462387,0.086337022,0.873293134
Dapma7bEVm000331,0.143959561,0.757399777,0.998544574
Dapma7bEVm000332,0.258165093,0.295201235,0.997835001
Dapma7bEVm000333,0.147069682,0.619956773,0.997835001
Dapma7bEVm000334,1.187621758,0.359182928,0.997835001
Dapma7bEVm000335,0.033885941,0.89900375,0.998544574
Dapma7bEVm000336,-0.542913585,0.577111639,0.997835001
Dapma7bEVm000337,-0.564507428,0.120922498,0.92587298
Dapma7bEVm000338,-0.312547821,0.233383239,0.997835001
Dapma7bEVm000339,-0.1754787,0.340548279,0.997835001
Dapma7bEVm000340,-0.210087568,0.345839597,0.997835001
Dapma7bEVm000341,-0.412307246,0.026123891,0.618553284
