,log2FoldChange,pvalue,padj
Dapma7bEVm000380,-0.014999763,0.936150148,0.98995563
Dapma7bEVm000381,-0.111861397,0.771053004,NA
Dapma7bEVm000382,-0.083744138,0.685366399,0.936672741
Dapma7bEVm000383,0.171703492,0.376726121,0.807444555
Dapma7bEVm000384,-0.126393385,0.556656283,0.8962249
Dapma7bEVm000385,0.436533768,0.297388365,0.749604272
Dapma7bEVm000386,-0.000675576,0.997388322,0.999022984
Dapma7bEVm000387,-0.348835699,0.418401237,0.832109028
Dapma7bEVm000388,0.735989639,0.216209221,0.677621922
Dapma7bEVm000389,-0.023853799,0.82602815,0.965772028
Dapma7bEVm000390,-0.423224769,0.56603467,NA
Dapma7bEVm000391,0.094531375,0.59462875,0.908948229
Dapma7bEVm000392,-0.18677226,0.553501419,0.8962249
Dapma7bEVm000393,-0.942578517,0.349592126,NA
Dapma7bEVm000394,0.326199931,0.316413282,0.763795113
Dapma7bEVm000395,-1.379782086,0.124569992,NA
Dapma7bEVm000396,-0.007268689,0.977156969,0.997181633
Dapma7bEVm000397,0.428892809,0.358931793,0.79399764
Dapma7bEVm000398,-0.531564586,0.018753031,0.20252322
Dapma7bEVm000399,0.055100647,0.754589383,0.952312776
Dapma7bEVm000400,-0.359713149,0.171071033,0.622675147
Dapma7bEVm000401,-0.279631231,0.819709718,NA
Dapma7bEVm000402,0.239940095,0.205289759,0.662555516
Dapma7bEVm000403,0.268557424,0.380055079,0.8081631
Dapma7bEVm000404,-0.329994225,0.214097913,0.676307811
Dapma7bEVm000405,-1.465151329,0.25689921,NA
Dapma7bEVm000406,-0.690890549,0.021765997,0.220248076
Dapma7bEVm000407,-0.492654708,0.312652209,NA
Dapma7bEVm000408,0.098927386,0.417630661,0.831594512
Dapma7bEVm000409,-0.414144425,0.507943404,NA
Dapma7bEVm000410,-0.102120068,0.507991421,0.877233562
Dapma7bEVm000411,-0.040187312,0.772148454,0.956341445
Dapma7bEVm000412,-1.07619602,0.189280785,NA
Dapma7bEVm000413,-0.031715172,0.898231054,0.97944845
