,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm015049,9.783295594,10.33397319,9.768801489,9.560752801,9.662137386,9.420579791,9.296436886,10.49196385,10.24215486,10.22574903,9.979277662,9.828412957,10.49013445,10.27501928,9.288714614,10.37284981
Dapma7bEVm015050,9.967452245,9.95190968,9.907556952,10.12538328,9.862591203,10.22803033,10.04617627,10.06264847,10.23562911,9.98741575,9.954745809,10.16471024,10.3244531,10.42950601,10.32115435,10.1152077
Dapma7bEVm015051,7.137310478,7.982660527,9.561488515,8.360391554,7.662143544,7.729826152,7.478218448,6.724414309,6.839906872,8.695031706,7.513802827,7.415983866,8.141121176,7.89106047,7.208053231,7.987042635
Dapma7bEVm015052,6.724414309,6.724414309,8.221414216,7.011449149,7.640281947,7.662826914,7.514137917,6.724414309,7.006936051,8.452793512,7.296206583,7.112684391,6.724414309,7.795206063,7.037451335,6.724414309
Dapma7bEVm015053,6.843980153,7.107391895,8.756099634,8.039180873,7.423758842,7.312624566,7.140558227,6.724414309,7.225447451,7.798064405,7.371577978,7.151992873,7.216222291,7.57449627,7.432520476,7.15722684
Dapma7bEVm015054,6.843980153,7.203705817,8.284827981,7.55599476,7.672860159,7.814278761,7.559407469,7.761494498,6.724414309,7.988437692,7.353631874,7.262127636,7.658606351,7.452159403,7.187642189,7.708514241
Dapma7bEVm015055,9.842392235,10.32308729,10.50860264,10.36272617,9.741651425,10.17856286,10.17201716,10.12636195,10.1339627,10.43436943,10.01359969,9.717933542,9.596191455,9.727166048,10.10323517,9.492125562
Dapma7bEVm015056,10.42961926,10.66573731,10.52030265,10.35250086,10.63511028,10.06688624,10.12532511,10.26330727,10.21171876,9.521567707,10.35939879,10.22213725,9.737274035,10.10167423,10.20779243,9.864945395
Dapma7bEVm015057,7.229254726,7.559240062,7.457457085,7.669606416,7.309419567,7.251245083,7.490396316,8.025506668,7.170060631,7.342522454,6.941743214,7.19923656,6.724414309,7.654746452,7.298954849,7.202512247
Dapma7bEVm015060,10.23227269,10.68376851,9.94775806,9.697790321,9.800715748,9.513468099,9.592208023,10.3166883,10.43587734,10.59288119,10.21697245,9.992829777,10.95411231,10.72112862,9.866057291,10.9243684
Dapma7bEVm015061,13.19659889,12.8079676,12.40548048,12.06534843,12.27342476,12.07522927,12.14823272,12.62526786,12.70756506,12.69347925,12.74316488,12.41484172,12.75759059,12.63688491,12.32736567,12.77986844
